time	x	y
1	0.2	0.4
2	0.552	0.9104
3	0.81528	0.29992
4	0.50264	0.79299
5	0.83512	0.61582
6	0.43051	0.88874
7	0.81984	0.3681
8	0.48678	0.87785
9	0.83166	0.39892
10	0.45684	0.90454
11	0.82716	0.31987
12	0.47393	0.82141
13	0.83369	0.54966
14	0.43945	0.93146
15	0.82123	0.23441
16	0.49458	0.6781
17	0.84136	0.82276
18	0.39793	0.54029
19	0.81704	0.93953
20	0.44644	0.20053
21	0.85601	0.60742
22	0.37941	0.89575
23	0.79012	0.34805
24	0.55291	0.85677
25	0.81783	0.45685
26	0.48408	0.93545
27	0.82883	0.22039
28	0.47828	0.64926
29	0.8423	0.85913
30	0.39255	0.44543
31	0.81711	0.93519
32	0.44664	0.21504
33	0.85543	0.63952
34	0.37814	0.86509
35	0.79031	0.43695
36	0.54548	0.92799
37	0.81714	0.24382
38	0.50305	0.69663
39	0.83992	0.79607
40	0.40372	0.60352
41	0.81819	0.90441
42	0.44665	0.31373
43	0.85102	0.81535
44	0.37435	0.55822
45	0.79884	0.93294
46	0.4879	0.22283
47	0.86362	0.6559
48	0.3556	0.84631
49	0.77192	0.48824
50	0.57851	0.94194
51	0.79893	0.19693
52	0.5465	0.59782
53	0.83476	0.90711
54	0.40705	0.30506
55	0.83234	0.80311
56	0.42157	0.5875
57	0.8287	0.91595
58	0.42094	0.27736
59	0.84145	0.75931
60	0.40306	0.6817
61	0.81463	0.81904
62	0.4618	0.54986
63	0.8445	0.93548
64	0.38062	0.21357
65	0.81699	0.63661
66	0.47131	0.86868
67	0.83118	0.42531
68	0.45578	0.92173
69	0.82614	0.26575
70	0.48075	0.73709
71	0.83827	0.72931
72	0.41338	0.73796
73	0.81823	0.72872
74	0.46092	0.73928
75	0.83558	0.72562
76	0.42022	0.74444
77	0.82144	0.71669
78	0.4545	0.75979
79	0.83322	0.68663
80	0.42916	0.8062
81	0.82284	0.58679
82	0.46193	0.91172
83	0.82781	0.29742
84	0.47427	0.78913
85	0.83526	0.62484
86	0.42942	0.88034
87	0.81976	0.39274
88	0.48494	0.89984
89	0.83057	0.33376
90	0.46481	0.83944
91	0.83165	0.50437
92	0.44809	0.94154
93	0.82338	0.20073
94	0.49246	0.60635
95	0.84494	0.90105
96	0.38242	0.32359
97	0.81424	0.82927
98	0.46186	0.52451
99	0.84568	0.94287
100	0.37702	0.18873
101	0.81495	0.58041
102	0.48052	0.91597
103	0.82966	0.28368
104	0.4711	0.76747
105	0.83592	0.67092
106	0.42396	0.82777
107	0.81967	0.53472
108	0.47351	0.93665
109	0.82819	0.2166
110	0.48008	0.64122
111	0.84283	0.86806
112	0.39048	0.42058
113	0.8166	0.92274
114	0.44883	0.25582
115	0.85435	0.72114
116	0.3739	0.75185
117	0.79124	0.70334
118	0.52248	0.78175
119	0.83239	0.64018
120	0.43503	0.86467
121	0.82261	0.43715
122	0.47477	0.9278
123	0.82872	0.24576
124	0.47643	0.70029
125	0.83969	0.79088
126	0.40473	0.6152
127	0.81833	0.89459
128	0.44712	0.34369
129	0.84985	0.85408
130	0.37404	0.45907
131	0.8023	0.9402
132	0.47972	0.19857
133	0.86403	0.60282
134	0.35909	0.89941
135	0.77321	0.33733
136	0.58767	0.84423
137	0.79849	0.4898
138	0.52406	0.94178
139	0.82362	0.19848
140	0.4921	0.60125
141	0.84519	0.90513
142	0.38144	0.31101
143	0.81394	0.8119
144	0.46396	0.56712
145	0.84414	0.92762
146	0.38218	0.23949
147	0.81726	0.69027
148	0.4663	0.80115
149	0.83367	0.59791
150	0.43549	0.9036
151	0.82108	0.32313
152	0.48764	0.82582
153	0.8342	0.53854
154	0.43917	0.93537
155	0.82097	0.22151
156	0.49624	0.65164
