Time,V1,V2,V3,V4,V5
10.0000,2.4873,1.0490,3.4093,8.6502,-2.4232
10.0500,3.5108,2.2832,4.0464,7.8964,-2.1931
10.1000,4.1666,3.7791,4.7456,6.8123,-1.8866
10.1500,4.4836,5.4255,5.2821,5.3070,-1.6077
10.2000,4.5246,7.0599,5.3571,3.4137,-1.3198
10.2500,4.3996,8.4636,4.6880,1.4224,-0.9423
10.3000,4.2834,9.4393,3.1935,-0.1486,-0.5056
10.3500,4.3073,9.8903,1.1267,-0.8165,-0.1553
10.4000,4.4727,9.8108,-0.9880,-0.4087,0.0987
10.4500,4.7750,9.2343,-2.6227,0.8390,0.5478
10.5000,5.2694,8.1564,-3.5549,2.3684,1.5622
10.5500,5.8840,6.4730,-3.9150,3.5582,3.2580
10.6000,6.2747,4.0804,-3.9256,3.9698,5.3755
10.6500,5.9798,1.1828,-3.6515,3.4702,7.3548
10.7000,4.8229,-1.5331,-3.0541,2.3313,8.6562
10.7500,3.1194,-3.3321,-2.2364,1.1273,9.1889
10.8000,1.3612,-3.9845,-1.4564,0.3045,9.2723
10.8500,-0.1160,-3.7001,-0.8990,-0.0616,9.2205
10.9000,-1.1470,-2.8043,-0.5533,-0.1029,9.1611
10.9500,-1.6706,-1.6010,-0.2858,0.0596,9.1057
11.0000,-1.7193,-0.3557,0.0287,0.3794,9.0351
11.0500,-1.4171,0.7312,0.4408,0.8467,8.9310
11.1000,-0.9447,1.5593,0.9428,1.4513,8.7813
11.1500,-0.4833,2.1310,1.5163,2.1765,8.5727
11.2000,-0.1712,2.5180,2.1634,3.0042,8.2731
11.2500,-0.0800,2.8143,2.9131,3.9106,7.8129
11.3000,-0.2043,3.0919,3.8121,4.8445,7.0745
11.3500,-0.4558,3.3637,4.9019,5.6909,5.9108
11.4000,-0.6691,3.5753,6.1693,6.2319,4.2228
11.4500,-0.6551,3.6687,7.4890,6.1556,2.1102
11.5000,-0.3438,3.7049,8.6398,5.1820,-0.0129
11.5500,0.0721,3.8562,9.4183,3.2690,-1.5430
11.6000,0.2719,4.1705,9.7019,0.7431,-2.0048
11.6500,0.2453,4.5032,9.4438,-1.7504,-1.2694
11.7000,0.4567,4.8154,8.6786,-3.5679,0.3507
11.7500,1.4043,5.2452,7.4276,-4.4855,2.1613
11.8000,3.1508,5.7590,5.6035,-4.7268,3.4247
11.8500,5.2766,6.0012,3.1470,-4.5951,3.6950
11.9000,7.1091,5.5794,0.3417,-4.1856,2.9408
11.9500,8.1517,4.4745,-2.1384,-3.4571,1.5714
12.0000,8.4443,3.0595,-3.7288,-2.4716,0.2430
12.0500,8.3848,1.6978,-4.3566,-1.4446,-0.5674
12.1000,8.2949,0.5253,-4.2545,-0.6003,-0.7672
12.1500,8.2687,-0.4507,-3.6663,-0.0443,-0.5179
12.2000,8.2672,-1.2258,-2.7571,0.2623,-0.0327
12.2500,8.2292,-1.7673,-1.6480,0.4537,0.5427
12.3000,8.1135,-2.0491,-0.4604,0.6836,1.1576
12.3500,7.8931,-2.0921,0.6805,1.0652,1.8202
12.4000,7.5370,-1.9712,1.6733,1.6522,2.5461
12.4500,6.9967,-1.7855,2.4634,2.4543,3.3242
12.5000,6.2014,-1.6136,3.0387,3.4580,4.0994
12.5500,5.0760,-1.4770,3.4044,4.6271,4.7596
12.6000,3.5989,-1.3272,3.5685,5.8826,5.1285
12.6500,1.8906,-1.0787,3.5654,7.0895,4.9966
12.7000,0.2564,-0.6981,3.4985,8.0907,4.2129
12.7500,-0.9107,-0.2798,3.5126,8.7724,2.7926
12.8000,-1.3123,0.0230,3.6762,9.0833,0.9622
12.8500,-0.8653,0.2023,3.9451,9.0087,-0.8906
12.9000,0.2582,0.4946,4.2866,8.5548,-2.3714
12.9500,1.6621,1.2152,4.7464,7.7137,-3.2800
13.0000,2.8722,2.5121,5.3179,6.4143,-3.6765
13.0500,3.5139,4.2590,5.8040,4.5557,-3.7360
13.1000,3.4142,6.0832,5.8602,2.1825,-3.5519
13.1500,2.6736,7.5249,5.2268,-0.3191,-3.0988
13.2000,1.6784,8.3393,3.9664,-2.3406,-2.3916
13.2500,0.8730,8.6445,2.4020,-3.4743,-1.6045
13.3000,0.4617,8.7053,0.8579,-3.7001,-0.9625
13.3500,0.3872,8.6893,-0.4510,-3.2108,-0.5622
13.4000,0.5144,8.6439,-1.3878,-2.2395,-0.3279
13.4500,0.7685,8.5669,-1.8826,-1.0196,-0.1021
13.5000,1.1444,8.4458,-1.9544,0.2243,0.2407
13.5500,1.6540,8.2653,-1.7130,1.3160,0.7457
13.6000,2.2915,8.0039,-1.3185,2.1680,1.4006
13.6500,3.0306,7.6268,-0.9254,2.7828,2.1824
13.7000,3.8270,7.0748,-0.6388,3.2168,3.0843
13.7500,4.6051,6.2629,-0.4903,3.5348,4.1136
13.8000,5.2323,5.1053,-0.4307,3.7759,5.2679
13.8500,5.5015,3.5885,-0.3466,3.9535,6.4968
13.9000,5.1640,1.8718,-0.1244,4.1004,7.6775
