Date,S12.C.D.S333
1979-12-31,52.9
1980-01-07,391.1
1980-01-14,382.3
1980-01-21,381.4
1980-01-28,373.3
1980-02-04,930.3
1980-02-11,1461.7
1980-02-18,1722.6
1980-02-25,1928
1980-03-03,1905.7
1980-03-10,1789.7
1980-03-17,1556
1980-03-24,576.6
1980-03-31,193.3
1980-04-07,41.6
1980-04-14,609.1
1980-04-21,1087.6
1980-04-28,1785.9
1980-05-05,1810.6
1980-05-12,684
1980-05-19,46
1980-05-26,575.7
1980-06-02,893.9
1980-06-09,279.4
1980-06-16,27.6
1980-06-23,0
1980-06-30,21.1
1980-07-07,76.7
1980-07-14,0
1980-07-21,0
1980-07-28,0
1980-08-04,109.3
1980-08-11,219
1980-08-18,218.6
1980-08-25,225.6
1980-09-01,405.7
1980-09-08,1001.6
1980-09-15,986.1
1980-09-22,1759.9
1980-09-29,1792.3
1980-10-06,1428.6
1980-10-13,1007
1980-10-20,803.9
1980-10-27,928.3
1980-11-03,966.4
1980-11-10,995
1980-11-17,942.7
1980-11-24,938.4
1980-12-01,783.3
1980-12-08,628.3
1980-12-15,607.7
1980-12-22,599.1
1980-12-29,460.9
1980-12-31,123.9
1981-01-07,426
1981-01-14,420.3
1981-01-21,385.3
1981-01-28,351.1
1981-02-04,228.4
1981-02-11,227.6
1981-02-18,230.6
1981-02-25,103.6
1981-03-04,61
1981-03-11,54.4
1981-03-18,53.6
1981-03-25,50.4
1981-04-01,47
1981-04-08,25
1981-04-15,107.3
1981-04-22,362.7
1981-04-29,441.1
1981-05-06,487
1981-05-13,411.3
1981-05-20,50.9
1981-05-27,35.4
1981-06-03,77.9
1981-06-10,61.9
1981-06-17,88
1981-06-24,73.3
1981-07-01,103.1
1981-07-08,108.6
1981-07-15,107.1
1981-07-22,98.1
1981-07-29,132.7
1981-08-05,159.7
1981-08-12,137.4
1981-08-19,193.6
1981-08-26,206.3
1981-09-02,261.9
1981-09-09,510.9
1981-09-16,989.3
1981-09-23,879.1
1981-09-30,875
1981-10-07,864.6
1981-10-14,839.6
1981-10-21,806
1981-10-28,781.6
1981-11-04,711.7
