Time,TentMap
1,0.07284
2,-0.5193
3,0.68247
4,-0.99431
5,0.81873
6,-0.63192
7,0.87662
8,-0.78239
9,0.89554
10,-1.22781
11,0.84032
12,0.22087
13,-1.09422
14,0.92906
15,0.02761
16,-1.2949
17,0.87749
18,0.03698
19,-0.03098
20,-0.98594
21,0.69216
22,0.12899
23,-1.34859
24,0.96633
25,0.09463
26,0.49037
27,-0.59616
28,0.97678
29,-0.87583
30,0.88729
31,-0.25983
32,-0.97049
33,0.69242
34,-0.38127
35,0.43034
36,-0.5207
37,0.89329
38,-0.35262
39,0.19641
40,-0.59174
41,0.67691
42,-1.15551
43,0.86995
44,0.2442
45,-0.68683
46,0.82318
47,-1.59924
48,0.92752
49,-0.03949
50,0.0836
51,0.30502
52,-0.32538
53,-1.00892
54,0.94469
55,-0.99204
56,1.02013
57,-0.51364
58,0.61004
59,-1.24625
60,0.65691
61,0.11266
62,0.25285
63,-1.37429
64,0.95991
65,-0.04661
66,0.28758
67,-0.0339
68,-1.13567
69,0.79202
70,0.03594
71,0.35823
72,-1.2704
73,1.02046
74,0.07003
75,0.22442
76,-0.16572
77,-0.94817
78,0.90501
79,0.10637
80,-1.52417
81,0.93331
82,-0.01214
83,0.34247
84,0.14839
85,0.09322
86,-1.01662
87,1.01294
88,0.19229
89,-1.61642
90,0.78526
91,0.02137
92,-0.16127
93,-0.00703
94,-0.69797
95,0.64897
96,-0.98111
97,0.70513
98,-0.79989
99,0.4934
100,-0.30493
101,-0.21575
102,0.66635
103,-1.17114
104,0.75242
105,0.04226
106,-0.64531
107,0.4602
108,-0.98877
109,0.84934
110,0.23507
111,-1.60379
112,1.09589
113,0.2385
114,-0.07639
115,0.47931
116,0.36483
117,-1.22329
118,0.95985
119,0.1112
120,0.04273
121,0.24759
122,-0.69455
123,0.95023
124,-1.1368
125,0.99376
126,-0.02623
127,-0.38086
128,-0.17482
129,-0.25724
130,-0.02166
131,-0.0486
132,0.44283
133,-1.10267
134,1.22261
135,0.31372
136,-0.39613
137,0.50513
138,-0.7869
139,0.89881
140,-0.56773
141,-0.10964
142,0.3913
143,-0.41063
144,0.94042
145,-0.97567
146,1.0407
147,-0.04101
148,-0.92474
149,0.86447
150,-0.16441
151,-0.09182
152,0.41998
153,-0.88607
154,1.01357
155,-0.34306
156,-0.10978
157,0.42048
158,-0.75818
159,0.9624
160,0.03459
161,-0.23256
162,0.42823
163,-1.10615
164,1.11984
165,0.30102
166,0.07888
167,-1.10969
168,0.7982
169,0.09149
170,0.26852
171,-1.0541
172,0.81967
173,0.25225
174,-1.21827
175,1.14275
176,0.29883
177,-1.15854
178,0.78198
179,0.18134
180,-0.16135
181,-0.21234
182,0.68013
183,-0.42056
184,0.88064
185,0.35344
186,-1.00311
187,0.91989
188,-0.32031
189,0.16344
190,0.15776
191,-0.2016
192,0.5768
193,-1.4228
194,1.20257
195,0.29071
196,0.08977
197,-1.00787
198,0.80145
199,0.35113
200,-1.17312
201,0.99175
202,0.16008
203,0.27288
204,-1.23478
205,1.02183
206,0.48874
207,-0.89373
208,0.63951
209,-0.67284
210,0.59034
211,-1.37466
212,0.88535
213,0.19071
214,0.22582
215,-0.35237
216,0.57915
217,-0.4967
218,0.56511
219,-0.66654
220,0.71502
221,-1.30855
222,1.01649
223,-0.13511
224,0.31018
225,-0.25034
226,-0.53714
227,0.4323
228,-0.79786
229,0.99794
230,0.15308
231,-1.16649
232,0.86185
233,0.1152
234,-0.80535
235,0.87311
236,-0.94493
237,1.04255
238,0.25222
239,-1.03629
240,0.96903
241,0.34428
242,-0.29326
243,-0.17158
244,0.85562
245,-1.257
246,1.23389
247,-0.13576
248,-0.13115
249,0.23652
250,0.31024
