time,x_t,x_t-1,x_t-2,y_t,y_t-1,y_t-2,z_t,z_t-1,z_t-2
3,-1.917685158,1.244881764,-0.741862518,-0.113188052,1.488887456,-1.268103609,1.535238778,-0.481582539,-1.863980166
4,-0.962317629,-1.917685158,1.244881764,-1.106778594,-0.113188052,1.488887456,-1.492955761,1.535238778,-0.481582539
5,1.331875102,-0.962317629,-1.917685158,2.385040811,-1.106778594,-0.113188052,-1.119476212,-1.492955761,1.535238778
6,-0.8170829,1.331875102,-0.962317629,-0.675346281,2.385040811,-1.106778594,0.746657902,-1.119476212,-1.492955761
7,0.743585963,-0.8170829,1.331875102,-0.010639353,-0.675346281,2.385040811,0.063088675,0.746657902,-1.119476212
8,-1.280173167,0.743585963,-0.8170829,1.019141615,-0.010639353,-0.675346281,0.812235161,0.063088675,0.746657902
9,0.555004181,-1.280173167,0.743585963,-0.194615118,1.019141615,-0.010639353,-1.731141339,0.812235161,0.063088675
10,-0.076886143,0.555004181,-1.280173167,1.633441402,-0.194615118,1.019141615,0.357270473,-1.731141339,0.812235161
11,0.842846283,-0.076886143,0.555004181,-1.167448221,1.633441402,-0.194615118,-0.080599755,0.357270473,-1.731141339
12,-1.050086389,0.842846283,-0.076886143,0.217246161,-1.167448221,1.633441402,1.020736743,-0.080599755,0.357270473
13,0.992532049,-1.050086389,0.842846283,-0.672663789,0.217246161,-1.167448221,-0.326734623,1.020736743,-0.080599755
14,-0.314656087,0.992532049,-1.050086389,-0.296778866,-0.672663789,0.217246161,0.307151369,-0.326734623,1.020736743
15,1.466061576,-0.314656087,0.992532049,-0.510561933,-0.296778866,-0.672663789,-0.226960645,0.307151369,-0.326734623
16,-1.61357238,1.466061576,-0.314656087,1.465883289,-0.510561933,-0.296778866,1.523424867,-0.226960645,0.307151369
17,-0.480080269,-1.61357238,1.466061576,-0.433485545,1.465883289,-0.510561933,-1.540322935,1.523424867,-0.226960645
18,0.997189335,-0.480080269,-1.61357238,0.118151313,-0.433485545,1.465883289,0.29119956,-1.540322935,1.523424867
19,-2.034038346,0.997189335,-0.480080269,0.50729183,0.118151313,-0.433485545,1.487987281,0.29119956,-1.540322935
20,-1.560020076,-2.034038346,0.997189335,-1.226802982,0.50729183,0.118151313,-2.443141567,1.487987281,0.29119956
21,0.201774357,-1.560020076,-2.034038346,0.697495314,-1.226802982,0.50729183,-1.453055089,-2.443141567,1.487987281
22,1.113258907,0.201774357,-1.560020076,0.862965977,0.697495314,-1.226802982,-0.401897498,-1.453055089,-2.443141567
23,-1.866068578,1.113258907,0.201774357,-0.639584919,0.862965977,0.697495314,1.284663607,-0.401897498,-1.453055089
24,-0.809943472,-1.866068578,1.113258907,-0.222526696,-0.639584919,0.862965977,-1.983265314,1.284663607,-0.401897498
25,1.325859915,-0.809943472,-1.866068578,0.836702462,-0.222526696,-0.639584919,-0.088878572,-1.983265314,1.284663607
26,-1.421913953,1.325859915,-0.809943472,1.319094345,0.836702462,-0.222526696,0.375582297,-0.088878572,-1.983265314
27,0.137876449,-1.421913953,1.325859915,-1.36366474,1.319094345,0.836702462,-1.568808696,0.375582297,-0.088878572
28,1.095383021,0.137876449,-1.421913953,-0.161693602,-1.36366474,1.319094345,0.18878508,-1.568808696,0.375582297
29,-1.058729002,1.095383021,0.137876449,-0.493608195,-0.161693602,-1.36366474,1.00710109,0.18878508,-1.568808696
30,0.711817732,-1.058729002,1.095383021,0.096733727,-0.493608195,-0.161693602,-1.734990086,1.00710109,0.18878508
