Time,x,y
1,0,1
2,0.0631,0.998
3,0.126,0.992
4,0.1883,0.9821
5,0.2499,0.9683
6,0.3105,0.9506
7,0.3699,0.9291
8,0.4278,0.9039
9,0.484,0.8751
10,0.5382,0.8428
11,0.5903,0.8072
12,0.6401,0.7683
13,0.6873,0.7264
14,0.7318,0.6815
15,0.7733,0.634
16,0.8118,0.5839
17,0.847,0.5316
18,0.8789,0.477
19,0.9072,0.4206
20,0.932,0.3625
21,0.953,0.303
22,0.9702,0.2423
23,0.9836,0.1806
24,0.993,0.1181
25,0.9985,0.0552
26,1,-0.0079
27,0.9975,-0.071
28,0.991,-0.1338
29,0.9806,-0.1961
30,0.9663,-0.2575
31,0.9481,-0.318
32,0.9261,-0.3772
33,0.9005,-0.4349
34,0.8712,-0.4909
35,0.8385,-0.5449
36,0.8025,-0.5967
37,0.7632,-0.6461
38,0.7209,-0.693
39,0.6758,-0.7371
40,0.6279,-0.7783
41,0.5775,-0.8164
42,0.5249,-0.8512
43,0.4701,-0.8826
44,0.4135,-0.9105
45,0.3552,-0.9348
46,0.2955,-0.9554
47,0.2346,-0.9721
48,0.1728,-0.985
49,0.1103,-0.9939
50,0.0473,-0.9989
51,-0.0158,-0.9999
52,-0.0789,-0.9969
53,-0.1416,-0.9899
54,-0.2038,-0.979
55,-0.2652,-0.9642
56,-0.3255,-0.9455
57,-0.3845,-0.9231
58,-0.442,-0.897
59,-0.4977,-0.8673
60,-0.5515,-0.8342
61,-0.603,-0.7977
62,-0.6521,-0.7581
63,-0.6987,-0.7154
64,-0.7424,-0.6699
65,-0.7832,-0.6217
66,-0.8209,-0.5711
67,-0.8553,-0.5181
68,-0.8863,-0.4631
69,-0.9138,-0.4063
70,-0.9376,-0.3478
71,-0.9577,-0.2879
72,-0.9739,-0.2269
73,-0.9863,-0.165
74,-0.9947,-0.1024
75,-0.9992,-0.0395
76,-0.9997,0.0237
77,-0.9962,0.0867
78,-0.9888,0.1494
79,-0.9774,0.2115
80,-0.9621,0.2728
81,-0.9429,0.3329
82,-0.9201,0.3918
83,-0.8935,0.4491
84,-0.8634,0.5046
85,-0.8298,0.558
86,-0.793,0.6093
87,-0.7529,0.6581
88,-0.7099,0.7043
89,-0.664,0.7477
90,-0.6155,0.7881
91,-0.5646,0.8254
92,-0.5113,0.8594
93,-0.4561,0.8899
94,-0.399,0.9169
95,-0.3404,0.9403
96,-0.2804,0.9599
97,-0.2192,0.9757
98,-0.1572,0.9876
99,-0.0946,0.9955
100,-0.0316,0.9995
101,0.0316,0.9995
102,0.0946,0.9955
103,0.1572,0.9876
104,0.2192,0.9757
105,0.2804,0.9599
106,0.3404,0.9403
107,0.399,0.9169
108,0.4561,0.8899
109,0.5113,0.8594
110,0.5646,0.8254
111,0.6155,0.7881
112,0.664,0.7477
113,0.7099,0.7043
114,0.7529,0.6581
115,0.793,0.6093
116,0.8298,0.558
117,0.8634,0.5046
118,0.8935,0.4491
119,0.9201,0.3918
120,0.9429,0.3329
121,0.9621,0.2728
122,0.9774,0.2115
123,0.9888,0.1494
124,0.9962,0.0867
125,0.9997,0.0237
126,0.9992,-0.0395
127,0.9947,-0.1024
128,0.9863,-0.165
129,0.9739,-0.2269
130,0.9577,-0.2879
131,0.9376,-0.3478
132,0.9138,-0.4063
133,0.8863,-0.4631
134,0.8553,-0.5181
135,0.8209,-0.5711
136,0.7832,-0.6217
137,0.7424,-0.6699
138,0.6987,-0.7154
139,0.6521,-0.7581
140,0.603,-0.7977
141,0.5515,-0.8342
142,0.4977,-0.8673
143,0.442,-0.897
144,0.3845,-0.9231
145,0.3255,-0.9455
146,0.2652,-0.9642
147,0.2038,-0.979
148,0.1416,-0.9899
149,0.0789,-0.9969
150,0.0158,-0.9999
151,-0.0473,-0.9989
152,-0.1103,-0.9939
153,-0.1728,-0.985
154,-0.2346,-0.9721
155,-0.2955,-0.9554
156,-0.3552,-0.9348
157,-0.4135,-0.9105
158,-0.4701,-0.8826
159,-0.5249,-0.8512
160,-0.5775,-0.8164
161,-0.6279,-0.7783
162,-0.6758,-0.7371
163,-0.7209,-0.693
164,-0.7632,-0.6461
165,-0.8025,-0.5967
166,-0.8385,-0.5449
167,-0.8712,-0.4909
168,-0.9005,-0.4349
169,-0.9261,-0.3772
170,-0.9481,-0.318
171,-0.9663,-0.2575
172,-0.9806,-0.1961
173,-0.991,-0.1338
174,-0.9975,-0.071
175,-1,-0.0079
176,-0.9985,0.0552
177,-0.993,0.1181
178,-0.9836,0.1806
179,-0.9702,0.2423
180,-0.953,0.303
181,-0.932,0.3625
182,-0.9072,0.4206
183,-0.8789,0.477
184,-0.847,0.5316
185,-0.8118,0.5839
186,-0.7733,0.634
187,-0.7318,0.6815
188,-0.6873,0.7264
189,-0.6401,0.7683
190,-0.5903,0.8072
191,-0.5382,0.8428
192,-0.484,0.8751
193,-0.4278,0.9039
194,-0.3699,0.9291
195,-0.3105,0.9506
196,-0.2499,0.9683
197,-0.1883,0.9821
198,-0.126,0.992
199,-0.0631,0.998
200,0,1
